PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
39772302,Surgery for giant ovarian cysts in Guyana using single-port laparoscopy: a retrospective case series analysis.,2024 Dec 31,"['France N', 'Sookraj R', 'Gittens S', 'Jiang Y']",[],N/A
39772299,Analysis of Current Status and Influencing Factors of Psychological Distress Tolerance in Liver Cancer Patients after Interventional Therapy.,2024 Dec 17,"['Yang L', 'Zhou L', 'Zhao C', 'Lan L', 'Ji C', 'Tu J', 'Xu W']",[],N/A
39772264,Optimized Directed Virus Evolution to Accelerate the Generation of Oncolytic Coxsackievirus B3 Adapted to Resistant Colorectal Cancer Cells.,2024 Dec 20,"['Elsner L', 'Dieringer B', 'Geisler A', 'Girod M', 'Van Linthout S', 'Kurreck J', 'Fechner H']",[],N/A
39772253,Circulating MicroRNAs Related to Arterial Stiffness in Adults with HIV Infection.,2024 Dec 19,"['Nanoudis S', 'Yavropoulou MP', 'Tsachouridou O', 'Pikilidou M', 'Pilalas D', 'Kotsa K', 'Skoura L', 'Zebekakis P', 'Metallidis S']",[],N/A
39772250,Human Melanoma and Glioblastoma Cells Express Cathepsins Supporting Reovirus Moscow Strain Infection.,2024 Dec 19,"['Ammour Y', 'Nikolaeva E', 'Sagimbaeva O', 'Shamsutdinov P', 'Astapenko A', 'Zhelaeva Y', 'Gavrilova M', 'Susova O', 'Mitrofanov A', 'Bekyashev A', 'Nasedkina T', 'Svitich O', 'Faizuloev E', 'Zverev V']",[],N/A
39772246,PD1-Targeted Transgene Delivery to Treg Cells.,2024 Dec 19,"['Zhuchkov VA', 'Kravchenko YE', 'Frolova EI', 'Chumakov SP']",[],N/A
39772239,"Vesicular Stomatitis Virus: Insights into Pathogenesis, Immune Evasion, and Technological Innovations in Oncolytic and Vaccine Development.",2024 Dec 18,"['Ahmed MM', 'Okesanya OJ', 'Ukoaka BM', 'Ibrahim AM', 'Lucero-Prisno DE 3rd']",[],N/A
39772237,Vaccination with a Replication-Dead Murine Gammaherpesvirus Lacking Viral Pathogenesis Genes Inhibits WT Virus Infection.,2024 Dec 17,"['Mitra D', 'Oldenburg DG', 'Forrest JC', 'Krug LT']",[],N/A
39772206,Chronic Hepatitis C Infection Treated with Direct-Acting Antiviral Agents and Occurrence/Recurrence of Hepatocellular Carcinoma: Does It Still Matter?,2024 Dec 10,"['Smirne C', 'Crobu MG', 'Landi I', 'Vercellino N', 'Apostolo D', 'Pinato DJ', 'Vincenzi F', 'Minisini R', 'Tonello S', ""D'Onghia D"", 'Ottobrelli A', 'Martini S', 'Bracco C', 'Fenoglio LM', 'Campanini M', 'Berton AM', 'Ciancio A', 'Pirisi M']",[],N/A
39772165,Newly Proposed Dose of Daclatasvir to Prevent Lethal SARS-CoV-2 Infection in Human Transgenic ACE-2 Mice.,2024 Nov 29,"['Mattos M', 'Sacramento CQ', 'Ferreira AC', 'Fintelman-Rodrigues N', 'Pereira-Dutra FS', 'de Freitas CS', 'Gesto JSM', 'Temerozo JR', 'Silva APDD', 'Moreira MTG', 'Silva RSC', 'Silveira GPE', 'Pinto DP', 'Pereira HM', 'Fonseca LB', 'Alves Ferreira M', 'Blanco C', 'Viola JPB', 'Bou-Habib DC', 'Bozza PT', 'Souza TML']",[],N/A
39772164,Preparation of Phage Display cDNA Libraries for Identifying Immunogenic Tumor Antigens: Challenges in Functional cDNA Presentation and Approaches to Overcoming Them.,2024 Nov 29,"['Brišar N', 'Šuster K', 'Cör A']",[],N/A
39772101,Challenges and Opportunities for Adult Vaccine Coverage: Insights for Healthcare Professionals Focusing on Herpes Zoster in Mexico.,2024 Dec 21,"['Cervantes-Apolinar MY', 'Guzman-Holst A', 'Mascareñas De Los Santos A', 'Macías Hernández AE', 'Cabrera Á', 'Lara-Solares A', 'Abud Mendoza C', 'Motola Kuba D', 'Flores Díaz DF', 'Salgado Gomez F', 'Castro-Narro GE', 'Nieto J', 'Mata-Marín JA', 'Barba Gómez JF', 'Tinoco JC', 'Calleja Castillo JM', 'Contreras Serratos MM', 'Castellanos Ramos N', 'Rosas Carrasco O', 'Ricaño R', 'Huerta García GC']",[],N/A
39772099,Treatment and Prevention of HPV-Associated Skin Tumors by HPV Vaccination.,2024 Dec 20,"['Meyer T', 'Stockfleth E']",[],N/A
39772073,Radiation-Induced Tumor-Derived Extracellular Vesicles Combined with Tyrosine Kinase Inhibitors: An Effective and Safe Therapeutic Approach for Lung Adenocarcinoma with EGFR19Del.,2024 Dec 14,"['Li Y', 'Long Y', 'Ge X', 'Zhang P', 'Li T', 'Wu L', 'Fan H', 'Du Z', 'Liu Q', 'Hu Y']",[],N/A
39772068,COVID-19 Vaccine Hesitancy Among Pediatric Oncology and Bone Marrow Transplant Patients.,2024 Dec 13,"[""O'Neill SA"", 'Tran S', 'Constantinescu C', 'Truong TH']",[],N/A
39772046,Vaccine Therapies for Prostate Cancer: Current Status and Future Outlook.,2024 Dec 9,"['Zhou W', 'Lu X', 'Tian F', 'Luo Q', 'Zhou W', 'Yang S', 'Li W', 'Yang Y', 'Shi M', 'Zhou T']",[],N/A
39771971,4-1BBL-Armed Oncolytic Herpes Simplex Virus Exerts Antitumor Effects in Pancreatic Ductal Adenocarcinoma.,2024 Nov 22,"['Gao W', 'Zhao Z', 'Bi Y', 'Li J', 'Tian N', 'Zhang C', 'Pan S', 'Deng L', 'Zhang Y']",[],N/A
39771968,Turning Cancer Immunotherapy to the Emerging Immune Checkpoint TIGIT: Will This Break Through the Limitations of the Legacy Approach?,2024 Nov 22,"['Cui H', 'Elkord E']",[],N/A
39771908,Optimized Synthetic Correlated Diffusion Imaging for Improving Breast Cancer Tumor Delineation.,2024 Dec 21,"['Tai CA', 'Wong A']",[],N/A
39771799,Characterization of an Inorganic Powder-Based Scintillation Detector Under a UHDR Electron Beam.,2024 Dec 18,"['Tho D', 'Beddar S']",[],N/A
39771639,Emerging Sensing Technologies for Liquid Biopsy Applications: Steps Closer to Personalized Medicine.,2024 Dec 11,"['Kalligosfyri PM', 'Lamprou E', 'Kalogianni DP']",[],N/A
39771599,Early-Stage IM Treatment with the Host-Derived Immunostimulant CPDI-02 Increases Curative Protection of Healthy Outbred Mice Against Subcutaneous Infection with Community-Acquired Methicillin-Resistant Staphylococcus aureus USA300.,2024 Dec 21,"['Stewart JP', 'Sandall CM', 'Parriott JE', 'Curran SM', 'McCulloh RJ', 'Ronning DR', 'Phillips JA', 'Schroeder R', 'Neel C', 'Lechtenberg KF', 'Cohen SM', 'Alnouti Y', 'Daria S', 'Smith DD', 'Vetro JA']",[],N/A
39771598,C118P Suppresses Gastric Cancer Growth via Promoting Autophagy-Lysosomal Degradation of RAB1A.,2024 Dec 21,"['Wei S', 'Zhang J', 'Wu H', 'Liao Z', 'Liu Z', 'Hou Y', 'Du D', 'Jiang J', 'Sun L', 'Yuan S', 'Yang M']",[],N/A
39771592,Building of CuO(2)@Cu-TA@DSF/DHA Nanoparticle Targets MAPK Pathway to Achieve Synergetic Chemotherapy and Chemodynamic for Pancreatic Cancer Cells.,2024 Dec 19,"['Zhang J', 'Li Z', 'Xie Z', 'You S', 'Chen Y', 'Zhang Y', 'Zhang J', 'Zhao N', 'Deng X', 'Sun S']",[],N/A
39771591,Novel Cyclic Peptide-Drug Conjugate P6-SN38 Toward Targeted Treatment of EGFR Overexpressed Non-Small Cell Lung Cancer.,2024 Dec 19,"['Bazylevich A', 'Miller A', 'Tkachenko I', 'Merlani M', 'Patsenker L', 'Gellerman G', 'Lubin BCR']",[],N/A
39771589,Drug Delivery Across the Blood-Brain Barrier: A New Strategy for the Treatment of Neurological Diseases.,2024 Dec 19,"['Jiao Y', 'Yang L', 'Wang R', 'Song G', 'Fu J', 'Wang J', 'Gao N', 'Wang H']",[],N/A
39771588,A New Heteroleptic Zn(II) Complex with Schiff Bases Sensitizes Triple-Negative Breast Cancer Cells to Doxorubicin and Paclitaxel.,2024 Dec 18,"['Machado RADS', 'Siqueira RP', 'da Silva FC', 'Matos ACP', 'Borges DS', 'Rocha GG', 'Souza TCP', 'Souza RAC', 'Oliveira CR', 'Ferreira AG', 'Maia PIDS', 'Deflon VM', 'Oliveira CG', 'Araújo TG']",[],N/A
39771583,High Carbonyl Graphene Oxide Suppresses Colorectal Cancer Cell Proliferation and Migration by Inducing Ferroptosis via the System Xc-/GSH/GPX4 Axis.,2024 Dec 17,"['Zhou X', 'Zhang Q', 'Zhu H', 'Ouyang G', 'Wang X', 'Cai Y']",[],N/A
39771575,Exploring Micelles and Nanospheres as Delivery Systems for Phenothiazine Derivatives in Cancer Therapy.,2024 Dec 16,"['Jelonek K', 'Musiał-Kulik M', 'Pastusiak M', 'Foryś A', 'Zięba A', 'Kasperczyk J']",[],N/A
39771570,Nucleoside Reverse Transcriptase Inhibitor (NRTI)-Induced Neuropathy and Mitochondrial Toxicity: Limitations of the Poly-γ Hypothesis and the Potential Roles of Autophagy and Drug Transport.,2024 Dec 13,"['Haynes J', 'Joshi A', 'Larue RC', 'Eisenmann ED', 'Govindarajan R']",[],N/A
39771569,A Zeolitic Imidazolate Framework-Based Antimicrobial Peptide Delivery System with Enhanced Anticancer Activity and Low Systemic Toxicity.,2024 Dec 13,"['Jiang J', 'Kaysar K', 'Pan Y', 'Xia L', 'Li J']",[],N/A
39771566,Evaluation of the Cancer-Preventive Effect of Resveratrol-Loaded Nanoparticles on the Formation and Growth of In Vitro Lung Tumor Spheroids.,2024 Dec 12,"['Torrico Guzmán EA', 'Gravely M', 'Meenach SA']",[],N/A
39771563,Pharmacogenetics of Neoadjuvant MAP Chemotherapy in Localized Osteosarcoma: A Study Based on Data from the GEIS-33 Protocol.,2024 Dec 12,"['Salazar J', 'Arranz MJ', 'Martin-Broto J', 'Bautista F', 'Martínez-García J', 'Martínez-Trufero J', 'Vidal-Insua Y', 'Echebarria-Barona A', 'Díaz-Beveridge R', 'Valverde C', 'Luna P', 'Vaz-Salgado MA', 'Blay P', 'Álvarez R', 'Sebio A']",[],N/A
39771562,Nanomedicines for Pulmonary Drug Delivery: Overcoming Barriers in the Treatment of Respiratory Infections and Lung Cancer.,2024 Dec 11,"['Fernández-García R', 'Fraguas-Sánchez AI']",[],N/A
39771557,Green Sol-Gel Synthesis of Iron Oxide Nanoparticles for Magnetic Hyperthermia Applications.,2024 Dec 11,"['Jesus J', 'Regadas J', 'Costa B', 'Carvalho J', 'Pádua A', 'Henriques C', 'Soares PIP', 'Gavinho S', 'Valente MA', 'Graça MPF', 'Soreto Teixeira S']",[],N/A
39771550,Advances in Research of Hydrogel Microneedle-Based Delivery Systems for Disease Treatment.,2024 Dec 9,"['Cao J', 'Wu B', 'Yuan P', 'Liu Y', 'Hu C']",[],N/A
39771543,"Photodynamic Therapy in Cancer: Principles, State of the Art, and Future Directions.",2024 Dec 6,"['Krysko DV', 'Balalaeva IV', 'Mishchenko TA']",[],N/A
39771528,Innovative Nanomedicine Delivery: Targeting Tumor Microenvironment to Defeat Drug Resistance.,2024 Dec 3,"['Meng W', 'Huang L', 'Guo J', 'Xin Q', 'Liu J', 'Hu Y']",[],N/A
39771527,Description and Modeling of Relevant Demographic and Laboratory Variables in a Large Oncology Cohort to Generate Virtual Populations.,2024 Dec 3,"['Pérez-Ramos L', 'Ibarra-Gómez L', 'Lubomirov R', 'García-Cremades M', 'Asín-Prieto E', 'Fudio S', 'Zubiaur P']",[],N/A
39771515,Mesoporous Polydopamine Nano-Bowls Demonstrate a High Entrapment Efficiency and pH-Responsive Release of Paclitaxel for Suppressing A549 Lung Cancer Cell Proliferation In Vitro.,2024 Dec 1,"['Ngema LM', 'Acter S', 'Adeyemi SA', 'Marimuthu T', 'Govender M', 'Ngwa W', 'Choonara YE']",[],N/A
39771514,Improvement of End-of-Synthesis Radiochemical Purity of (177)Lu-DOTA-PSMA-Ligands with Alternative Synthesis Approaches: Conversion Upswing and Side-Products Minimization.,2024 Nov 30,"['Larenkov A', 'Mitrofanov I', 'Rakhimov M']",[],N/A
39771506,"Nanocarriers for Delivery of Anticancer Drugs: Current Developments, Challenges, and Perspectives.",2024 Nov 27,"['Hani U', 'Choudhary VT', 'Ghazwani M', 'Alghazwani Y', 'Osmani RAM', 'Kulkarni GS', 'Shivakumar HG', 'Wani SUD', 'Paranthaman S']",[],N/A
39771504,Innovative Approaches to Enhancing the Biomedical Properties of Liposomes.,2024 Nov 27,"['Dejeu IL', 'Vicaș LG', 'Marian E', 'Ganea M', 'Frenț OD', 'Maghiar PB', 'Bodea FI', 'Dejeu GE']",[],N/A
39771501,Effect of Lipid Nanoparticle Physico-Chemical Properties and Composition on Their Interaction with the Immune System.,2024 Nov 26,"['Catenacci L', 'Rossi R', 'Sechi F', 'Buonocore D', 'Sorrenti M', 'Perteghella S', 'Peviani M', 'Bonferoni MC']",[],N/A
39771496,A Bait-and-Hook Hydrogel for Net Tumor Cells to Enhance Chemotherapy and Mitigate Metastatic Dissemination.,2024 Nov 25,"['Chen C', 'Liu J', 'Zhang H', 'Zhang H', 'Liang Y', 'Ye Q', 'Shen W', 'Luo H', 'Guo L']",[],N/A
39771488,Using Poly(amidoamine) PAMAM-βCD Dendrimer for Controlled and Prolonged Delivery of Doxorubicin as Alternative System for Cancer Treatment.,2024 Nov 23,"['Sorroza-Martínez K', 'González-Sánchez I', 'Villamil-Ramos R', 'Cerbón M', 'Guerrero-Álvarez JA', 'Coronel-Cruz C', 'Rivera E', 'González-Méndez I']",[],N/A
39771480,Sustainable Carbon Dots Loaded into Carboxymethylcellulose Based Hydrogels for Uterine Cancer Bioimaging.,2024 Nov 22,"['Rodrigues JS', 'Brandão P', 'Duarte SOD', 'da Silveira IB', 'Leite MF', 'Gonçalves MP', 'Borsagli FGLM', 'Fonte P']",[],N/A
39771471,Nanotheranostics in Breast Cancer Bone Metastasis: Advanced Research Progress and Future Perspectives.,2024 Nov 21,"['Miao L', 'Zhu Y', 'Chang H', 'Zhang X']",[],N/A
39771337,Folic Acid-Targeted Mixed Pluronic Micelles for Delivery of Triptolide.,2024 Dec 13,"['Yin M', 'Zhang X', 'Zhang T', 'Bao Z', 'He Z']",[],N/A
